sample_id,seq_type,plant_part,host_name,municipality_town,state,,,,
SSR4140275,Shotgun,Rhizosphere,Agave Salmiana,El Magueyal,Gto,,,,
SSR4140278,Shotgun,Rhizosphere,Agave Tequilana,Amatitan,Jal,,,,
SSR4140277,Shotgun,Rhizosphere,Agave Tequilana,Panjamo,Gto,,,,
SSR4141180,Shotgun,Rhizosphere,Myrtillocactus Geometrizans,El Magueyal,Gto,,,,
SSR4142459,Shotgun,Phylosphere,Opuntia Robusta,San Felipe,Gto,,,,
SSR4142283,Shotgun,Rhizosphere,Opuntia Robusta,San Felipe,Gto,,,,
SSR4142282,Shotgun,Phylosphere,Agave Salmiana,San Felipe,Gto,,,,
SSR4142418,Shotgun,Rhizosphere,Myrtillocactus Geometrizans,San Felipe,Gto,,,,
SSR4142417,Shotgun,Rhizosphere,Opuntia Robusta,El Magueyal,Gto,,,,
SSR4142460,Shotgun,Phylosphere,Myrtillocactus Geometrizans,El Magueyal,Gto,,,,
SSR10127271,Shotgun,Phylosphere,Myrtillocactus Geometrizans,San Felipe,Gto,,,,
SSR10127267,Shotgun,Phylosphere,Agave Tequilana,Amatitan,Jal,,,,
SSR5166355,Shotgun,Phylosphere,Opuntia Robusta,El Magueyal,Gto,,,,
SSR5240887,Amplicon,Rhizosphere,Dioon Merolae,NA,Chis,,,,
SSR5240836,Amplicon,Rhizosphere,Dioon Merolae,NA,Chis,,,,
SSR5240884,Amplicon,Rhizosphere,Dioon Merolae,NA,Chis,,,,
SSR5240886,Amplicon,Rhizosphere,Dioon Merolae,NA,Chis,,,,
SSR5240833,Amplicon,Rhizosphere,Dioon Merolae,NA,Chis,,,,
SSR5240888,Amplicon,Rhizosphere,Dioon Merolae,NA,Chis,,,,
